n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos
1000,block_bootstrap,20,0,20000,21000,0.48607468605041504,0.15239308774471283,0.30747029185295105,0.29367494583129883,51,166.7
1000,block_bootstrap,20,1,20000,21000,0.46730077266693115,0.15366621315479279,0.305245965719223,0.28777414560317993,37,167.1
1000,block_bootstrap,20,2,20000,21000,0.503402054309845,0.16335178911685944,0.3073239028453827,0.2428826093673706,54,167.2
1000,vae,20,0,20000,21000,0.40740618109703064,0.13889861106872559,0.28848952054977417,0.3562203645706177,57,168.9
1000,vae,20,1,20000,21000,0.5128124952316284,0.17361345887184143,0.3164727985858917,0.19532090425491333,89,169.3
1000,vae,20,2,20000,21000,0.5176336169242859,0.16554169356822968,0.3077917993068695,0.2327325940132141,58,168.8
1000,wgan_gp,20,0,20000,21000,0.6364726424217224,0.18441112339496613,0.3315824866294861,0.14527493715286255,88,178.1
1000,wgan_gp,20,1,20000,21000,0.4725331962108612,0.16525223851203918,0.31272655725479126,0.23407423496246338,67,178.0
1000,wgan_gp,20,2,20000,21000,0.6747459173202515,0.21777452528476715,0.3643491268157959,-0.009360790252685547,0,178.6
1000,realnvp,20,0,20000,21000,0.6745565533638,0.20485146343708038,0.35570093989372253,0.05053621530532837,2,178.8
1000,realnvp,20,1,20000,21000,0.4451073110103607,0.15067355334758759,0.3025220036506653,0.30164480209350586,6,178.1
1000,realnvp,20,2,20000,21000,0.4625566303730011,0.14857490360736847,0.301829993724823,0.3113718032836914,6,56.8
1000,jitter,30,0,30000,31000,0.464407742023468,0.1362043172121048,0.28995877504348755,0.36870813369750977,10,87.0
1000,jitter,30,1,30000,31000,0.3995295464992523,0.1397237479686737,0.28480714559555054,0.3523959517478943,4,90.8
1000,jitter,30,2,30000,31000,0.422194242477417,0.14094425737857819,0.2854422628879547,0.3467389941215515,6,91.0
1000,gaussiana,30,0,30000,31000,0.5234453678131104,0.175480455160141,0.3249353766441345,0.1866675615310669,53,90.9
1000,gaussiana,30,1,30000,31000,0.7625551819801331,0.23692399263381958,0.3726670444011688,-0.09811639785766602,4,91.1
1000,gaussiana,30,2,30000,31000,0.9178113341331482,0.2473551630973816,0.3844834268093109,-0.14646375179290771,102,90.8
1000,block_bootstrap,30,0,30000,31000,0.4800923764705658,0.14893662929534912,0.3039122521877289,0.3096952438354492,29,92.8
1000,block_bootstrap,30,1,30000,31000,0.47869470715522766,0.1574399471282959,0.3059118390083313,0.2702833414077759,18,92.4
1000,block_bootstrap,30,2,30000,31000,0.5008915662765503,0.16304779052734375,0.3057419955730438,0.24429160356521606,42,92.9
1000,vae,30,0,30000,31000,0.40684768557548523,0.1361292451620102,0.2828821837902069,0.3690560460090637,69,117.9
1000,vae,30,1,30000,31000,0.5186280012130737,0.17490151524543762,0.3170638382434845,0.1893509030342102,87,244.1
1000,vae,30,2,30000,31000,0.5283271074295044,0.16610532999038696,0.30791547894477844,0.2301202416419983,27,237.6
1000,wgan_gp,30,0,30000,31000,0.7346500754356384,0.19664326310157776,0.3444630205631256,0.08858031034469604,131,96.9
1000,wgan_gp,30,1,30000,31000,0.5030978322029114,0.16881613433361053,0.3179745376110077,0.2175559401512146,95,101.7
1000,wgan_gp,30,2,30000,31000,0.7260956168174744,0.22832639515399933,0.3745490312576294,-0.05826747417449951,0,100.9
1000,realnvp,30,0,30000,31000,0.6777698993682861,0.20482735335826874,0.35563182830810547,0.05064797401428223,1,100.1
1000,realnvp,30,1,30000,31000,0.45158469676971436,0.1520637720823288,0.3052505552768707,0.29520130157470703,3,102.5
1000,realnvp,30,2,30000,31000,0.46809208393096924,0.1400405913591385,0.29800668358802795,0.3509274125099182,10,103.1
250,ninguno,0.0,0,0,250,0.4640025794506073,0.15053918957710266,0.306832492351532,0.30226755142211914,111,9.9
250,ninguno,0.0,1,0,250,0.4250088632106781,0.1529313325881958,0.2975464165210724,0.29118025302886963,161,6.8
250,ninguno,0.0,2,0,250,0.4946157932281494,0.16794408857822418,0.3111453354358673,0.2215977907180786,83,6.8
250,jitter,1,0,250,500,0.4348447024822235,0.14631660282611847,0.2990981638431549,0.3218387961387634,126,6.9
250,jitter,1,1,250,500,0.45053040981292725,0.16456730663776398,0.3092927634716034,0.23724877834320068,220,7.1
250,jitter,1,2,250,500,0.4659980833530426,0.1603211611509323,0.3098752498626709,0.2569292187690735,87,6.9
250,gaussiana,1,0,250,500,0.45231595635414124,0.1498323678970337,0.30372464656829834,0.30554360151290894,165,6.9
250,gaussiana,1,1,250,500,0.5737006068229675,0.18652036786079407,0.3278132677078247,0.13549882173538208,91,6.9
250,gaussiana,1,2,250,500,0.615961492061615,0.1974038928747177,0.33591413497924805,0.08505487442016602,140,5.5
250,block_bootstrap,1,0,250,500,0.4463270902633667,0.14914849400520325,0.3064034581184387,0.30871325731277466,148,7.4
250,block_bootstrap,1,1,250,500,0.5756827592849731,0.1813795417547226,0.3213382661342621,0.1593259572982788,223,6.4
250,block_bootstrap,1,2,250,500,0.6479867100715637,0.21061237156391144,0.3474559485912323,0.02383500337600708,250,6.7
250,vae,1,0,250,500,0.47419413924217224,0.16090035438537598,0.3161461353302002,0.25424468517303467,85,8.7
250,vae,1,1,250,500,0.5356211066246033,0.1773054301738739,0.3196614980697632,0.17820900678634644,232,8.5
250,vae,1,2,250,500,0.5082467794418335,0.17188768088817596,0.31279850006103516,0.20331966876983643,226,8.7
250,wgan_gp,1,0,250,500,0.5615441799163818,0.18214677274227142,0.33144426345825195,0.155769944190979,157,13.7
250,wgan_gp,1,1,250,500,0.6213544011116028,0.21314918994903564,0.36002302169799805,0.012077152729034424,128,14.5
250,wgan_gp,1,2,250,500,0.5140926241874695,0.1720336526632309,0.31321120262145996,0.20264309644699097,108,14.3
250,realnvp,1,0,250,500,0.6687538623809814,0.20046737790107727,0.3508589267730713,0.07085597515106201,105,13.6
250,realnvp,1,1,250,500,0.4892110228538513,0.1650528609752655,0.30931586027145386,0.23499828577041626,126,13.4
250,realnvp,1,2,250,500,0.4689600467681885,0.1587449014186859,0.30505499243736267,0.2642350196838379,91,13.4
250,jitter,3,0,750,1000,0.4364638924598694,0.1454678475856781,0.2967807650566101,0.32577264308929443,127,7.5
250,jitter,3,1,750,1000,0.43077346682548523,0.1490539014339447,0.29540184140205383,0.30915170907974243,99,7.5
250,jitter,3,2,750,1000,0.5099686980247498,0.1697750687599182,0.316250205039978,0.21311140060424805,84,7.5
250,gaussiana,3,0,750,1000,0.4530138671398163,0.14903153479099274,0.3046642541885376,0.30925536155700684,164,7.6
250,gaussiana,3,1,750,1000,0.6464897990226746,0.2070145606994629,0.34705451130867004,0.040510475635528564,96,7.5
250,gaussiana,3,2,750,1000,0.666915774345398,0.20602187514305115,0.344459593296051,0.04511147737503052,224,6.9
250,block_bootstrap,3,0,750,1000,0.4727488160133362,0.1563853919506073,0.31248027086257935,0.27517104148864746,142,7.4
250,block_bootstrap,3,1,750,1000,0.6431722640991211,0.19871938228607178,0.33931034803390503,0.07895773649215698,96,7.0
250,block_bootstrap,3,2,750,1000,0.7085216045379639,0.2263428419828415,0.36252522468566895,-0.04907393455505371,265,7.3
250,vae,3,0,750,1000,0.5373751521110535,0.1666502058506012,0.3266296982765198,0.227594792842865,155,8.8
250,vae,3,1,750,1000,0.5639659762382507,0.1871529370546341,0.3289841115474701,0.1325669288635254,244,9.0
250,vae,3,2,750,1000,0.5511482357978821,0.18389281630516052,0.32434988021850586,0.14767718315124512,130,8.6
250,wgan_gp,3,0,750,1000,0.5565980076789856,0.17891545593738556,0.32589191198349,0.17074674367904663,299,13.9
250,wgan_gp,3,1,750,1000,0.6515386700630188,0.22165264189243317,0.36618882417678833,-0.027335405349731445,267,11.2
250,wgan_gp,3,2,750,1000,0.5489085912704468,0.176580011844635,0.31901824474334717,0.18157124519348145,178,14.1
250,realnvp,3,0,750,1000,0.6751104593276978,0.20493130385875702,0.35419097542762756,0.05016613006591797,57,14.0
250,realnvp,3,1,750,1000,0.4588831961154938,0.15948428213596344,0.3043942451477051,0.2608080506324768,248,13.6
250,realnvp,3,2,750,1000,0.4824163019657135,0.15858334302902222,0.305116206407547,0.2649838328361511,108,13.8
250,jitter,5,0,1250,1500,0.45510154962539673,0.14848695695400238,0.30364295840263367,0.3117794394493103,58,9.8
250,jitter,5,1,1250,1500,0.4227335751056671,0.15331324934959412,0.2989259660243988,0.2894101142883301,101,10.0
250,jitter,5,2,1250,1500,0.503786027431488,0.1705760508775711,0.3138350248336792,0.20939892530441284,88,10.0
250,gaussiana,5,0,1250,1500,0.4453737735748291,0.1498372107744217,0.30383551120758057,0.3055211305618286,153,9.9
250,gaussiana,5,1,1250,1500,0.6453331112861633,0.2069772630929947,0.3462181091308594,0.0406833291053772,48,10.1
250,gaussiana,5,2,1250,1500,0.6325312256813049,0.19704963266849518,0.33766376972198486,0.0866968035697937,135,9.9
250,block_bootstrap,5,0,1250,1500,0.4761996865272522,0.15734338760375977,0.31304699182510376,0.2707308530807495,119,9.7
250,block_bootstrap,5,1,1250,1500,0.5929950475692749,0.1917247176170349,0.33228757977485657,0.11137723922729492,206,10.0
250,block_bootstrap,5,2,1250,1500,0.6430786848068237,0.20764730870723724,0.34527963399887085,0.03757774829864502,125,10.1
250,vae,5,0,1250,1500,0.5062623023986816,0.16580304503440857,0.3220959007740021,0.23152130842208862,107,11.5
250,vae,5,1,1250,1500,0.6002017259597778,0.1978258341550827,0.34120017290115356,0.08309918642044067,192,11.4
250,vae,5,2,1250,1500,0.5627744793891907,0.1866200715303421,0.3247256577014923,0.13503670692443848,111,11.4
250,wgan_gp,5,0,1250,1500,0.4605478346347809,0.15035957098007202,0.3015575706958771,0.303100049495697,166,17.3
250,wgan_gp,5,1,1250,1500,0.5745201110839844,0.20451697707176208,0.3515236973762512,0.05208653211593628,187,17.1
250,wgan_gp,5,2,1250,1500,0.5445225238800049,0.16930164396762848,0.31353217363357544,0.21530568599700928,111,17.4
250,realnvp,5,0,1250,1500,0.6784783005714417,0.216513991355896,0.36491355299949646,-0.003518342971801758,3,15.9
250,realnvp,5,1,1250,1500,0.4362994134426117,0.1499345749616623,0.29712584614753723,0.30506986379623413,180,16.1
250,realnvp,5,2,1250,1500,0.48534101247787476,0.16091585159301758,0.30655837059020996,0.2541728615760803,55,16.2
250,jitter,10,0,2500,2750,0.45714831352233887,0.1479998379945755,0.3006792962551117,0.3140372037887573,41,12.9
250,jitter,10,1,2500,2750,0.40005871653556824,0.14300718903541565,0.2867269814014435,0.337177574634552,87,12.9
250,jitter,10,2,2500,2750,0.4917149245738983,0.1683049201965332,0.3113338053226471,0.21992534399032593,50,12.8
250,gaussiana,10,0,2500,2750,0.4520958364009857,0.14851458370685577,0.30110928416252136,0.31165140867233276,186,12.6
250,gaussiana,10,1,2500,2750,0.6495137810707092,0.20342501997947693,0.34301772713661194,0.05714762210845947,31,12.8
