n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos
3000,block_bootstrap,3.0,1,9000,12000,0.4267389178276062,0.15112869441509247,0.2957988381385803,0.3516935706138611,8,3.8
3000,block_bootstrap,3.0,2,9000,12000,0.40343326330184937,0.14885194599628448,0.29127639532089233,0.36146026849746704,25,3.8
3000,vae,3.0,0,9000,12000,0.42031702399253845,0.16035524010658264,0.3017342686653137,0.31211382150650024,16,4.5
3000,vae,3.0,1,9000,12000,0.4459282159805298,0.16501538455486298,0.3032575249671936,0.29212290048599243,15,4.6
3000,vae,3.0,2,9000,12000,0.4143661558628082,0.1573798507452011,0.29295578598976135,0.3248775601387024,11,4.5
3000,wgan_gp,3.0,0,9000,12000,0.46407851576805115,0.16724179685115814,0.31283968687057495,0.2825721502304077,22,8.3
3000,wgan_gp,3.0,1,9000,12000,0.4197637736797333,0.15342484414577484,0.295971155166626,0.3418436050415039,35,8.3
3000,wgan_gp,3.0,2,9000,12000,0.525879979133606,0.1919458955526352,0.3301650285720825,0.17659735679626465,29,8.5
3000,realnvp,3.0,0,9000,12000,0.3942338228225708,0.1478269398212433,0.2882551848888397,0.3658573031425476,13,6.1
3000,realnvp,3.0,1,9000,12000,0.3930964767932892,0.13664044439792633,0.2781437039375305,0.4138447046279907,14,6.1
3000,realnvp,3.0,2,9000,12000,0.3642646372318268,0.14271381497383118,0.28089892864227295,0.38779139518737793,18,6.1
