n_real,generador,ratio,delta_medio,delta_sd,n_seeds,ee,t,veredicto
500,realnvp,30.0,-0.07748200496037799,0.19310402257325202,3,0.11148865941426662,-0.6949765596559234,no concluyente
500,vae,1.0,-0.034149110317230225,0.028531288899400417,3,0.016472547326395814,-2.0730922571100625,no concluyente
500,vae,3.0,-0.04646235704421995,0.02677607107519572,3,0.015459171843104802,-3.00548810219374,empeora
500,vae,5.0,-0.05295203129450479,0.04874566821741283,3,0.028143324667151484,-1.88151300248864,no concluyente
500,vae,10.0,-0.050747692584991434,0.026504683256374353,3,0.0153024860128535,-3.3163038046475144,empeora
500,vae,20.0,-0.06604512532552083,0.03515157432243735,3,0.020294770897498343,-3.254292726884734,empeora
500,vae,30.0,-0.09725411732991535,0.06497947508747556,3,0.0375159174335546,-2.592342770296491,empeora
500,wgan_gp,1.0,-0.0573484698931376,0.050970058299502304,3,0.029427576879828575,-1.9488002742233146,no concluyente
500,wgan_gp,3.0,-0.059480865796407066,0.0776494660319885,3,0.044830940115999265,-1.3267815852735048,no concluyente
500,wgan_gp,5.0,-0.06711932023366289,0.07189600786226528,3,0.041509179492938315,-1.6169753546942902,no concluyente
500,wgan_gp,10.0,-0.042273640632629374,0.09000642724615453,3,0.051965234999363785,-0.8134984982391965,no concluyente
500,wgan_gp,20.0,-0.039643228054046596,0.10212186262142509,3,0.05896008487462576,-0.6723739990935389,no concluyente
500,wgan_gp,30.0,-0.03913803895314536,0.08340031271503875,3,0.04815119299652659,-0.8128155611008143,no concluyente
1000,block_bootstrap,1.0,-0.019079387187957802,0.025473013981741687,3,0.014706851479429664,-1.2973128350853316,no concluyente
1000,block_bootstrap,3.0,-0.02625477313995363,0.02119137615259098,3,0.012234846726197018,-2.1459012709768905,no concluyente
1000,block_bootstrap,5.0,-0.050685505072275795,0.019187545455987037,3,0.011077934534102296,-4.575356977985889,empeora
1000,block_bootstrap,10.0,-0.042636752128601095,0.041287219056228425,3,0.023837187036204528,-1.788665418610145,no concluyente
1000,block_bootstrap,20.0,-0.06494822104771934,0.037790584107773285,3,0.0218184039074561,-2.9767631639418086,empeora
1000,block_bootstrap,30.0,-0.06496872504552205,0.047631523869767066,3,0.027500073128122103,-2.3624928102130673,no concluyente
1000,gaussiana,1.0,-0.12704290946324667,0.15571370052992653,3,0.08990134691746586,-1.4131368863681064,no concluyente
1000,gaussiana,3.0,-0.17040709654490152,0.20816515395339658,3,0.12018420767089341,-1.4178825974502076,no concluyente
