n_real,generador,ratio,seed,n_synth,n_train,val_mse,test_mse,test_mae,test_r2,epoca_mejor,segundos,receta
1000,ninguno,0.0,0,0,1000,0.45379638671875,0.1677703708410263,0.3047335743904114,0.2803046703338623,52,4.1,f16761a9
1000,ninguno,0.0,1,0,1000,0.6698081493377686,0.2299375236034393,0.3650249242782593,0.0136222839355468,99,4.0,f16761a9
1000,ninguno,0.0,2,0,1000,0.4312371611595154,0.1621504873037338,0.3025929927825928,0.3044126629829407,97,4.1,f16761a9
1000,jitter,0.25,0,250,1250,0.4271211922168731,0.1553142815828323,0.2922574579715729,0.3337383866310119,90,4.4,f16761a9
1000,jitter,0.25,1,250,1250,0.4793241918087005,0.1798084378242492,0.3185510039329529,0.228664219379425,99,4.5,f16761a9
1000,jitter,0.25,2,250,1250,0.4155797362327575,0.155809536576271,0.2978596091270447,0.3316138386726379,85,4.5,f16761a9
1000,gaussiana,0.25,0,250,1250,0.4486657977104187,0.1598329693078994,0.2931345105171203,0.3143542408943176,65,4.5,f16761a9
1000,gaussiana,0.25,1,250,1250,0.5767544507980347,0.2012171000242233,0.3354256749153137,0.1368260979652404,99,4.5,f16761a9
1000,gaussiana,0.25,2,250,1250,0.4119095504283905,0.1557237207889557,0.2964590787887573,0.3319819569587707,81,4.5,f16761a9
1000,block_bootstrap,0.25,0,250,1250,0.4262589812278747,0.156829759478569,0.2935419976711273,0.3272373080253601,93,4.5,f16761a9
1000,block_bootstrap,0.25,1,250,1250,0.4687645435333252,0.1745451688766479,0.3118205666542053,0.2512423992156982,99,4.5,f16761a9
1000,block_bootstrap,0.25,2,250,1250,0.4199212789535522,0.1568518131971359,0.2988221347332001,0.3271427154541015,79,4.5,f16761a9
1000,vae,0.25,0,250,1250,0.4257924556732178,0.1571096926927566,0.2925605475902557,0.3260364532470703,87,4.7,f16761a9
1000,vae,0.25,1,250,1250,0.4851781129837036,0.1795170456171035,0.316277801990509,0.2299142479896545,73,4.7,f16761a9
1000,vae,0.25,2,250,1250,0.4096362292766571,0.15657439827919,0.2975733578205108,0.328332781791687,71,4.7,f16761a9
1000,realnvp,0.25,0,250,1250,0.4327609241008758,0.15560944378376,0.2902169823646545,0.3324722051620483,87,5.0,f16761a9
1000,realnvp,0.25,1,250,1250,0.4551687240600586,0.1752878576517105,0.3153478503227234,0.248056411743164,99,5.0,f16761a9
1000,realnvp,0.25,2,250,1250,0.4150049686431885,0.1542261838912964,0.2971867322921753,0.3384060263633728,82,5.0,f16761a9
1000,jitter,0.5,0,500,1500,0.4238759279251098,0.1528463363647461,0.2873935997486114,0.3443252444267273,71,4.8,f16761a9
1000,jitter,0.5,1,500,1500,0.4423007667064667,0.1706435978412628,0.3103490769863128,0.2679792046546936,99,4.8,f16761a9
1000,jitter,0.5,2,500,1500,0.4183287918567657,0.156008630990982,0.2974202334880829,0.3307597637176513,79,4.8,f16761a9
1000,gaussiana,0.5,0,500,1500,0.4456468224525451,0.1604806333780288,0.2937378287315368,0.3115759491920471,80,4.8,f16761a9
1000,gaussiana,0.5,1,500,1500,0.5674524307250977,0.1980555951595306,0.3314564228057861,0.1503882408142089,89,4.8,f16761a9
1000,gaussiana,0.5,2,500,1500,0.4109502732753753,0.1566328704357147,0.2974042892456054,0.3280819058418274,76,4.8,f16761a9
1000,block_bootstrap,0.5,0,500,1500,0.4220039844512939,0.1558747440576553,0.2921389043331146,0.331334114074707,99,4.8,f16761a9
1000,block_bootstrap,0.5,1,500,1500,0.4843713641166687,0.1773783713579177,0.3150693774223327,0.2390886545181274,99,4.8,f16761a9
1000,block_bootstrap,0.5,2,500,1500,0.4427744150161743,0.1612895876169204,0.3029292523860931,0.3081057071685791,78,4.8,f16761a9
1000,vae,0.5,0,500,1500,0.4285839796066284,0.1572017222642898,0.2917098999023437,0.3256416916847229,67,5.0,f16761a9
1000,vae,0.5,1,500,1500,0.4903434514999389,0.1795574426651001,0.3142817318439483,0.2297409176826477,92,5.0,f16761a9
1000,vae,0.5,2,500,1500,0.4130782186985016,0.159114122390747,0.2983656227588653,0.3174379467964172,64,5.0,f16761a9
1000,realnvp,0.5,0,500,1500,0.4516191184520721,0.1618308275938034,0.2974279224872589,0.3057839274406433,69,5.4,f16761a9
1000,realnvp,0.5,1,500,1500,0.4372642338275909,0.1682638078927993,0.3088891804218292,0.2781879305839538,96,5.4,f16761a9
1000,realnvp,0.5,2,500,1500,0.421376883983612,0.1556852459907531,0.2994603812694549,0.3321470022201538,77,5.3,f16761a9
1000,jitter,0.75,0,750,1750,0.430564820766449,0.1539818346500396,0.2878539264202118,0.3394542336463928,94,5.2,f16761a9
1000,jitter,0.75,1,750,1750,0.4383591711521148,0.1688591390848159,0.3081991970539093,0.2756341099739074,99,5.2,f16761a9
1000,jitter,0.75,2,750,1750,0.4195468723773956,0.1561408936977386,0.2980236709117889,0.3301923871040344,92,5.2,f16761a9
1000,gaussiana,0.75,0,750,1750,0.453128308057785,0.163739413022995,0.29808309674263,0.2975965142250061,80,5.3,f16761a9
1000,gaussiana,0.75,1,750,1750,0.578015923500061,0.2019188106060028,0.3355052769184112,0.1338159441947937,82,5.2,f16761a9
1000,gaussiana,0.75,2,750,1750,0.4157043695449829,0.1580613851547241,0.2993315160274505,0.3219539523124695,61,5.2,f16761a9
