n_real,generador,n_synth,delta_medio,delta_sd,n_seeds,ee,t,veredicto
3000,realnvp,20000,0.07988415161768597,0.011370164258640991,3,0.006564567395456638,12.168989486340577,mejora
3000,vae,500,-0.004432539145151755,0.009154337527343223,3,0.005285259235664304,-0.8386606876804653,no concluyente
3000,vae,1000,-0.03166508674621584,0.01949929977031466,3,0.011257925971400377,-2.812692748793854,empeora
3000,vae,3000,-0.029844721158345522,0.02378142753918793,3,0.013730213591463732,-2.1736530870066293,no concluyente
3000,vae,7000,-0.043462157249450684,0.029972599598233746,3,0.017304688446353123,-2.5115827646472373,empeora
3000,vae,20000,-0.06333247820536296,0.02917023889547869,3,0.016841445278630313,-3.760513255101921,empeora
10000,block_bootstrap,500,-0.004857858022054036,0.0033187004770979345,3,0.001916052613812232,-2.5353468829797454,empeora
10000,block_bootstrap,1000,-0.00046567122141520184,0.011048627116010458,3,0.006378927839604437,-0.07300148757351024,no concluyente
10000,block_bootstrap,3000,0.00364708900451662,0.0073894292141640965,3,0.004266288945955326,0.8548621649206997,no concluyente
10000,block_bootstrap,7000,-0.01114716132481893,0.013466170891720466,3,0.007774697389288314,-1.4337743022869378,no concluyente
10000,block_bootstrap,20000,-0.039224584897359215,0.00862409673260064,3,0.004979124570084352,-7.877807503156063,empeora
10000,diffusion_ts,500,0.0008324384689330869,0.008156145874620867,3,0.004708953016262214,0.17677782429730943,no concluyente
10000,diffusion_ts,1000,0.0007126728693644205,0.0060577388579341265,3,0.003497437160308724,0.20377002836600266,no concluyente
10000,diffusion_ts,3000,0.003552297751108787,0.001987415120828964,3,0.0011474346550021351,3.0958606101209107,mejora
10000,diffusion_ts,7000,-0.0005169113477071127,0.00775156385350867,3,0.004475367477463804,-0.11550143095736284,no concluyente
10000,diffusion_ts,20000,0.005566696325937888,0.013224619505980618,3,0.007635237631708286,0.7290796428941546,no concluyente
10000,gaussiana,500,-0.009721835454305014,0.005397662200944151,3,0.003116341724709774,-3.1196307443499034,empeora
10000,gaussiana,1000,-0.031187355518341064,0.016933197693357032,3,0.009776386246500833,-3.1900699023121812,empeora
10000,gaussiana,3000,-0.06732944647471112,0.01010339667490431,3,0.005833198789985574,-11.542457046089737,empeora
10000,gaussiana,7000,-0.10429195562998451,0.010203882835617104,3,0.005891214501922937,-17.702963556316416,empeora
10000,gaussiana,20000,-0.1703640023867289,0.008975420036401798,3,0.005181961174106539,-32.87635639533765,empeora
10000,jitter,500,0.0010075370470682965,0.0008384010910005342,3,0.00048405109557803436,2.0814683744598,no concluyente
10000,jitter,1000,0.002316832542419415,0.005887419398950583,3,0.0033991031748163442,0.6816011233741367,no concluyente
10000,jitter,3000,0.002674480279286721,0.0061534394005960495,3,0.003552689894376179,0.7528043141396489,no concluyente
10000,jitter,7000,0.0037952065467834473,0.010459203277881645,3,0.006038623827993984,0.6284886515350643,no concluyente
10000,jitter,20000,-0.00286869208017985,0.008838157520238666,3,0.005102712623450109,-0.5621896218486697,no concluyente
10000,realnvp,500,-0.0004456043243408203,0.006798597440673591,3,0.003925172062484799,-0.11352478751179484,no concluyente
10000,realnvp,1000,0.00472585360209149,0.007873654468943055,3,0.004545856527150373,1.0395958547890976,no concluyente
