n_real,generador,ratio,test_r2_media,test_r2_sd,test_mse_media,n_train,n_seeds
1000,vae,7.0,0.26503823200861615,0.026781649227803784,0.17132918039957679,8000,3
1000,vae,20.0,0.25427532196044916,0.042723292941111345,0.17383815348148346,21000,3
3000,block_bootstrap,0.1666666666666666,0.3465293248494466,0.03690282915440564,0.15233253935972846,3500,3
3000,block_bootstrap,0.3333333333333333,0.35190020004908246,0.044645794784799395,0.15108051896095273,4000,3
3000,block_bootstrap,1.0,0.3553399642308553,0.04403921532732851,0.1502786626418431,6000,3
3000,block_bootstrap,2.333333333333333,0.35817774136861164,0.03606365486897815,0.14961714049180344,10000,3
3000,block_bootstrap,6.666666666666667,0.3474007248878479,0.02887565622237532,0.1521294116973876,23000,3
3000,diffusion_ts,0.1666666666666666,0.3402812679608663,0.03344954520576387,0.1537890434265136,3500,3
3000,diffusion_ts,0.3333333333333333,0.35110171635945636,0.03452087981671594,0.15126665929953254,4000,3
3000,diffusion_ts,1.0,0.38247984647750854,0.032553383083828574,0.14395200709501896,6000,3
3000,diffusion_ts,2.333333333333333,0.3957519729932149,0.03160854448776928,0.14085809886455533,10000,3
3000,diffusion_ts,6.666666666666667,0.3994938333829244,0.017671022913720538,0.13998582462469733,23000,3
3000,gaussiana,0.1666666666666666,0.31245855490366614,0.026995315017073432,0.1602748831113179,3500,3
3000,gaussiana,0.3333333333333333,0.29228105147679645,0.03724740235351378,0.16497852404912308,4000,3
3000,gaussiana,1.0,0.2368281881014506,0.08202592304971072,0.1779053062200546,6000,3
3000,gaussiana,2.333333333333333,0.2006704211235046,0.0767957160460547,0.1863341530164082,10000,3
3000,gaussiana,6.666666666666667,0.13807052373886103,0.05164082186511061,0.2009270091851552,23000,3
3000,jitter,0.1666666666666666,0.3527780572573344,0.022317707851913456,0.15087588628133136,3500,3
3000,jitter,0.3333333333333333,0.3593375086784363,0.02459372222738786,0.14934678872426346,4000,3
3000,jitter,1.0,0.37032357851664227,0.028906050780728658,0.14678578575452164,6000,3
3000,jitter,2.333333333333333,0.38831208149592084,0.0551807994901368,0.14259243508179978,10000,3
3000,jitter,6.666666666666667,0.38855648040771484,0.0597957841451285,0.142535462975502,23000,3
3000,ninguno,0.0,0.33803019920984906,0.022307140200586485,0.15431380271911618,3000,3
3000,realnvp,0.1666666666666666,0.3529849052429199,0.029106080131836326,0.15082766115665433,3500,3
3000,realnvp,0.3333333333333333,0.35977145036061603,0.03443288307048637,0.1492456297079722,4000,3
3000,realnvp,1.0,0.38951138655344647,0.040462873796445094,0.14231286446253452,6000,3
3000,realnvp,2.333333333333333,0.4038928151130676,0.04851889513844457,0.13896036644776658,10000,3
3000,realnvp,6.666666666666667,0.417914350827535,0.03301008925308222,0.13569176197051996,23000,3
3000,vae,0.1666666666666666,0.33359766006469727,0.016746157416012233,0.15534708400567368,3500,3
3000,vae,0.3333333333333333,0.3063651124636332,0.010250086103496467,0.1616953412691752,4000,3
3000,vae,1.0,0.3081854780515035,0.009430321811188178,0.16127099096775052,6000,3
3000,vae,2.333333333333333,0.2945680419603984,0.015605690452726204,0.16444540023803708,10000,3
3000,vae,6.666666666666667,0.2746977210044861,0.020300436813724634,0.16907742619514465,23000,3
10000,block_bootstrap,0.05,0.42234182357788086,0.0013747818398158137,0.13465966284275052,10500,3
10000,block_bootstrap,0.1,0.4267340103785197,0.011981451516301284,0.13363577922185257,11000,3
10000,block_bootstrap,0.3,0.4308467706044515,0.005383592503969483,0.13267704844474787,13000,3
10000,block_bootstrap,0.7,0.41605252027511597,0.010468048188171077,0.1361257781585057,17000,3
10000,block_bootstrap,2.0,0.3879750967025757,0.009970244874193976,0.14267099400361374,30000,3
10000,diffusion_ts,0.05,0.428032120068868,0.005715092910669789,0.13333317637443534,10500,3
10000,diffusion_ts,0.1,0.4279123544692993,0.0074282845434781395,0.13336109618345893,11000,3
10000,diffusion_ts,0.3,0.4307519793510437,0.0014017039327616856,0.13269914189974463,13000,3
